# chainpdb mesofaction tacticity
AA24f0.75_a0 0.47619 [['m', 'r', 'r', 'r', 'm', 'r', 'r', 'r', 'm', 'm', 'm', 'r', 'm', 'm', 'r', 'r', 'm', 'r', 'r', 'm', 'm']] 
AA24f0.75_a18 0.42857 [['m', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'r', 'm', 'm', 'r', 'm', 'm', 'r', 'r', 'm', 'r', 'm']] 
AA24f0.75_a19 0.28571 [['m', 'r', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'm', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'r', 'r', 'r']] 
AA24f0.75_a20 0.28571 [['m', 'r', 'r', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'r', 'r', 'm', 'm', 'r', 'r', 'm', 'r', 'r', 'r', 'r']] 
AA24f0.75_a21 0.42857 [['m', 'r', 'm', 'r', 'm', 'm', 'r', 'm', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'r', 'r', 'm', 'r', 'm', 'r']] 
AA24f0.75_a22 0.42857 [['m', 'r', 'm', 'm', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'r', 'm', 'r', 'r', 'm', 'r', 'r', 'r', 'm', 'm']] 
AA24f0.75_a23 0.47619 [['m', 'r', 'r', 'm', 'm', 'm', 'r', 'm', 'm', 'r', 'r', 'r', 'm', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'm']] 
AA24f0.75_a24 0.66667 [['m', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm', 'm', 'm', 'r', 'm', 'm', 'm', 'r', 'm', 'm', 'm', 'm', 'm']] 
AA24f0.75_a25 0.42857 [['m', 'r', 'r', 'r', 'r', 'm', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'm', 'm', 'r', 'r', 'm', 'r', 'm', 'm']] 
AA24f0.75_a26 0.42857 [['m', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'm', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'm', 'm', 'm', 'r']] 
AA24f0.75_a27 0.47619 [['m', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm', 'm', 'm', 'r', 'm', 'm', 'r', 'm', 'r', 'r', 'r', 'm', 'r']] 
AA24f0.75_a28 0.47619 [['m', 'r', 'm', 'r', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'm', 'r', 'm', 'm', 'm', 'm', 'r', 'm']] 
AA24f0.75_a29 0.52381 [['m', 'r', 'm', 'm', 'r', 'm', 'm', 'm', 'r', 'm', 'r', 'r', 'r', 'r', 'r', 'r', 'm', 'm', 'm', 'm', 'r']] 
