# chainpdb mesofaction tacticity
AH24f0.75_a0 0.47619 [['m', 'm', 'r', 'r', 'm', 'm', 'r', 'm', 'r', 'r', 'm', 'm', 'm', 'r', 'r', 'm', 'r', 'r', 'r', 'r', 'm']] 
AH24f0.75_a16 0.33333 [['r', 'r', 'm', 'r', 'r', 'm', 'r', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm', 'r']] 
AH24f0.75_a17 0.57143 [['r', 'm', 'm', 'm', 'r', 'm', 'r', 'r', 'm', 'm', 'r', 'm', 'r', 'm', 'm', 'r', 'm', 'm', 'r', 'r', 'm']] 
AH24f0.75_a18 0.66667 [['m', 'm', 'm', 'm', 'm', 'm', 'r', 'm', 'r', 'r', 'm', 'm', 'r', 'm', 'm', 'r', 'm', 'r', 'r', 'm', 'm']] 
AH24f0.75_a19 0.28571 [['r', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm', 'r', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm']] 
AH24f0.75_a20 0.33333 [['r', 'r', 'm', 'm', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'm', 'r', 'r']] 
AH24f0.75_a21 0.42857 [['r', 'r', 'm', 'r', 'm', 'r', 'm', 'm', 'm', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'r', 'r', 'm', 'm', 'r']] 
AH24f0.75_a22 0.47619 [['r', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm', 'm', 'r', 'm', 'm', 'm', 'm']] 
AH24f0.75_a23 0.47619 [['m', 'm', 'r', 'r', 'm', 'r', 'r', 'r', 'm', 'm', 'r', 'm', 'r', 'r', 'r', 'm', 'm', 'm', 'm', 'r', 'r']] 
AH24f0.75_a24 0.47619 [['m', 'r', 'm', 'r', 'r', 'r', 'r', 'm', 'r', 'm', 'r', 'm', 'm', 'r', 'm', 'm', 'm', 'r', 'm', 'r', 'r']] 
AH24f0.75_a25 0.57143 [['r', 'r', 'm', 'm', 'm', 'r', 'r', 'm', 'm', 'r', 'r', 'm', 'm', 'm', 'r', 'm', 'm', 'r', 'r', 'm', 'm']] 
AH24f0.75_a26 0.47619 [['m', 'm', 'r', 'm', 'm', 'm', 'm', 'r', 'r', 'r', 'r', 'm', 'r', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'm']] 
AH24f0.75_a27 0.47619 [['r', 'r', 'm', 'm', 'm', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'm', 'r', 'r', 'm', 'm', 'm', 'm', 'r', 'r']] 
AH24f0.75_a28 0.57143 [['r', 'm', 'm', 'r', 'r', 'm', 'm', 'r', 'm', 'r', 'm', 'r', 'm', 'm', 'm', 'r', 'm', 'r', 'm', 'r', 'm']] 
AH24f0.75_a29 0.28571 [['m', 'r', 'm', 'r', 'r', 'r', 'r', 'm', 'm', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'm', 'm', 'r', 'r']] 
